MP1111K00249201,"신반포관리소,20차",262431859,1,서울특별시,서초구,잠원동,60,1165010600,11650540,203202000,건물;아파트내 시설;관리사무소,,,956904,1945927,0,Y,N,2012-04-12 9:34
MP1111K00249202,관악재활용센터,28869113,1,서울특별시,관악구,신림동,564-4,1162010200,11620725,922201040,도매/소매/서비스;보관-처리;폐기물수집처리업,,,947779,1942601,0,Y,N,2012-04-12 9:34
MP1111K00249203,신건형종합건축사무소,226010640,1,서울특별시,강서구,화곡동,401-16,1150010300,11500540,921201060,도매/소매/서비스;서비스업;건축/엔지니어링및관련기술서비스업,,,941879,1949026,0,Y,N,2012-04-12 9:34
MP1111K00249204,신공덕E편한세상아파트관리사무소,27012934,1,서울특별시,마포구,신공덕동,148-134,1144010300,11440565,203202000,건물;아파트내 시설;관리사무소,,,952037,1949324,0,Y,N,2012-04-12 9:34
MP1111K00249206,에스앤비엘이디,226352835,1,서울특별시,용산구,원효로2가,Feb-88,1117011300,11170560,929001000,도매/소매/서비스;판매-서비스;판매-서비스 기타,,,952380,1948645,0,Y,N,2012-04-12 9:34
MP1111K00249207,유피트임플란트,24782849,1,서울특별시,강동구,천호동,447-5,1174010900,11740620,929101000,도매/소매/서비스;도소매;도소매 기타,,,967711,1948594,0,Y,N,2012-04-12 9:34
MP1111K00249208,웅진코웨이,27477208,1,서울특별시,서초구,서초동,1330-18,1165010800,11650520,703108100,쇼핑/여가/가정;전자제품;웅진코웨이,,,958308,1943965,0,Y,N,2012-04-12 9:34
MP1111K00249209,강북화물운송공사,29051234,1,서울특별시,도봉구,방학동,463-2,1132010600,11320710,953201240,산업/농축수산/임광업;운송업;화물운송업,,,958046,1962557,0,Y,N,2012-04-12 9:34
MP1111K00249210,삼하기업,222341573,1,서울특별시,성동구,금호동3가,632,1120011100,11200615,953001000,산업/농축수산/임광업;건설업;일반건설업,,,957806,1950280,0,Y,N,2012-04-12 9:34
MP1111K00249211,세일이엔에스,222791781,1,서울특별시,중구,을지로2가,145,1114010500,11140550,953001020,산업/농축수산/임광업;건설업;전문건설업(단종건설업),,,954859,1951959,0,Y,N,2012-04-12 9:34
MP1111K00249213,세중,25625675,1,서울특별시,강남구,대치동,892,1168010600,11680630,501303000,관광/숙박;관광여행관련;여행사,,,960772,1945261,0,Y,N,2012-04-12 9:34
MP1111K00249214,에버렉스,222930009,1,서울특별시,성동구,성수동1가,660-7,1120011400,11200650,721501000,자동차;렌터카;렌터카 일반,,,959818,1949692,0,Y,N,2012-04-12 9:34
MP1111K00249215,영신시푸드,226628948,1,서울특별시,강서구,공항동,1353-10,1150010800,11500620,929101000,도매/소매/서비스;도소매;도소매 기타,,,939677,1950940,0,Y,N,2012-04-12 9:34
MP1111K00249216,흥국화재해상보험새동서대리점,24348192,1,서울특별시,중랑구,상봉동,87-48,1126010200,11260590,742301000,금융/보험;손해보험;손해보험 일반,,,963800,1955056,0,Y,N,2012-04-12 9:34
MP1111K00249217,전농3동어린이집,222419325,1,서울특별시,동대문구,전농동,688,1123010400,11230570,554302000,교육/예술/종교;유아;어린이집,,,961240,1953563,0,Y,N,2012-04-12 9:34
MP1111K00249218,신세계인력,28585444,1,서울특별시,구로구,구로동,805-20,1153010200,11530550,921201300,도매/소매/서비스;서비스업;인력공급및고용알선업,,,945721,1943074,0,Y,N,2012-04-12 9:34
MP1111K00249219,모바일장군,25618121,1,서울특별시,노원구,상계동,292-1,1135010500,11350640,703201000,쇼핑/여가/가정;휴대폰;휴대폰대리점 일반,,,961522,1961849,0,Y,N,2012-04-12 9:34
MP1111K00249220,유니시앤시,27190145,1,서울특별시,용산구,한강로2가,01월 16일,1117012500,11170625,952055100,산업/농축수산/임광업;제조업;컴퓨터/사무분야,,,952788,1948311,0,Y,N,2012-04-12 9:34
MP1111K00249221,제이맥스잉크,24336393,1,서울특별시,중랑구,중화동,207-14,1126010300,11260610,952055060,산업/농축수산/임광업;제조업;의료/화학약품,,,962735,1955151,0,Y,N,2012-04-12 9:34
MP1111K00249222,박종호뮤직그룹,232733670,1,서울특별시,마포구,공덕동,115-62,1144010200,11440565,929101000,도매/소매/서비스;도소매;도소매 기타,,,952172,1949994,0,Y,N,2012-04-12 9:34
MP1111K00249223,큰바위부동산,29770788,1,서울특별시,노원구,공릉동,727,1135010300,,921201140,도매/소매/서비스;서비스업;부동산업,,,961994,1958852,0,Y,N,2012-04-12 9:34
MP1111K00249224,서울흥신심부름센터,23932007,1,서울특별시,마포구,아현동,220-14,1144010100,11440565,921201320,도매/소매/서비스;서비스업;경호업/인력공급업,,,951977,1950712,0,Y,N,2012-04-12 9:34
MP1111K00249240,에벤에셀건설,23741377,1,서울특별시,마포구,상암동,1674,1144012700,11440740,953001000,산업/농축수산/임광업;건설업;일반건설업,,,945499,1953331,0,Y,N,2012-04-12 9:34
MP1111K00249158,세림특수인쇄,222637826,1,서울특별시,중구,인현동1가,01월 24일,1114016000,11140605,921201280,도매/소매/서비스;서비스업;인쇄업,,,955410,1951960,0,Y,N,2012-04-12 9:34
MP1111K00249159,현대지게차판매,226770908,1,서울특별시,영등포구,영등포동2가,94-89,1156010300,11560535,921001100,도매/소매/서비스;판매업;기계임대/판매업,,,948048,1947288,0,Y,N,2012-04-12 9:34
MP1111K00249161,우리축산,25951733,1,서울특별시,서초구,잠원동,Jan-75,1165010600,11650580,929101000,도매/소매/서비스;도소매;도소매 기타,,,955916,1945253,0,Y,N,2012-04-12 9:34
MP1111K00249162,형제철물,222683323,1,서울특별시,중구,을지로3가,139,1114015500,11140605,784302000,생활/편의;전기철물-수리;철물점,,,955224,1952021,0,Y,N,2012-04-12 9:34
MP1111K00249163,공릉삼익아파트입주자대표회의,29766232,2,서울특별시,노원구,공릉동,산53-1,1135010300,11350600,203202000,건물;아파트내 시설;관리사무소,,,962981,1958755,0,Y,N,2012-04-12 9:34
